No,Nama Lagu,Asal Daerah
362,Tan Mahurang,Sulawesi Utara
363,Anak Daro,Sumatera Barat
364,Ayam Den Lapeh,Sumatera Barat
365,Badindin,Sumatera Barat
366,Bareh Solok,Sumatera Barat
367,Dayung Palinggam,Sumatera Barat
368,Gelang Sipaku Gelang,Sumatera Barat
369,Ka Parak Tingga,Sumatera Barat
370,Kambanglah Bungo,Sumatera Barat
371,Kampuang Nan Jauh Di Mato,Sumatera Barat
372,Kaparak Tingga,Sumatera Barat
374,Lah Laruik Sanjo,Sumatera Barat
375,Mak Inang,Sumatera Barat
376,Malam Baiko,Sumatera Barat
377,Paku Gelang,Sumatera Barat
378,Malam Bainai,Sumatera Barat
379,Saringgik Duo Kupang,Sumatera Barat
380,Tak Tong-Tong,Sumatera Barat
381,Tari Payung,Sumatera Barat
382,Cuk Mak Ilang,Sumatera Selatan
383,Dek Sangke,Sumatera Selatan
384,Kabile-Bile,Sumatera Selatan
385,Tari Tanggai,Sumatera Selatan
386,Ya Saman,Sumatera Selatan
387,Butet,Sumatera Utara
388,Cikala Le Pongpong,Sumatera Utara
389,Dago Inang Sarge,Sumatera Utara
390,Ketabo,Sumatera Utara
391,Leleng Ma Hupaima,Sumatera Utara
392,Lisoi,Sumatera Utara
393,Madekdek Magambiri,Sumatera Utara
394,Mariam Tomong,Sumatera Utara
395,Nasonang Dohita Nadua,Sumatera Utara
396,O’pio,Sumatera Utara
397,Piso Surit,Sumatera Utara
398,Rambadia,Sumatera Utara
399,Say Selamat Masinegar,Sumatera Utara
400,Sengko-sengko,Sumatera Utara
401,Sigulempong,Sumatera Utara
402,Sik Sik Sibatumanikam,Sumatera Utara
403,Sinanggar Tulo,Sumatera Utara
404,Sing Sing So,Sumatera Utara
405,Sitara Tillo,Sumatera Utara
406,Sory Ya Katulla,Sumatera Utara
407,Tarutung Na Uli,Sumatera Utara
408,Tano Niha,Sumatera Utara
409,Pitik Tukung,Yogyakarta
410,Sinom,Yogyakarta
411,Suwe Ora Jamu,Yogyakarta
412,Te Kate Dipanah,Yogyakarta
413,Kidang Talun,Yogyakarta
414,Menthok- menthok,Yogyakarta
415,Kupu Kuwi,Yogyakarta
416,Caping Gunung,Yogyakarta
417,Walang Kekek,Yogyakarta
418,Gethuk,Yogyakarta
